time,open,high,low,close,volume
2021-05-28 12:00:00,27.51,27.51,15.5,24.31,4515.35
2021-05-28 13:00:00,24.25,24.42,23.28,23.54,2604.71
2021-05-28 14:00:00,23.48,25.39,23.34,25.32,3757.88
2021-05-28 15:00:00,25.36,26.4,25.36,26.19,2747.13
2021-05-28 16:00:00,26.12,26.24,25.37,25.41,2051.26
2021-05-28 17:00:00,25.41,25.87,25.33,25.62,1026.49
2021-05-28 18:00:00,25.66,25.71,24.86,24.97,1938.98
2021-05-28 19:00:00,24.97,25.46,24.72,25.29,1547.49
2021-05-28 20:00:00,25.27,25.4,24.89,25.25,1332.24
2021-05-28 21:00:00,25.26,25.88,25.14,25.41,4039.56
2021-05-28 22:00:00,25.27,25.65,24.03,24.05,3880.93
2021-05-28 23:00:00,24.23,24.37,23.05,23.44,3174.23
2021-05-29 00:00:00,23.44,24.55,23.3,23.51,1919.43
2021-05-29 01:00:00,23.38,24.04,23.38,23.84,1273.18
2021-05-29 02:00:00,23.91,24.39,23.75,24.3,759.65
2021-05-29 03:00:00,24.43,24.54,24.24,24.24,298.06
2021-05-29 04:00:00,24.49,24.49,24.0,24.03,324.58
2021-05-29 05:00:00,24.09,24.55,23.96,24.23,393.62
2021-05-29 06:00:00,24.27,24.27,23.44,23.52,823.93
2021-05-29 07:00:00,23.52,24.59,23.51,24.32,1684.41
2021-05-29 08:00:00,24.24,25.1,24.22,24.39,1193.55
2021-05-29 09:00:00,24.39,24.55,23.97,23.97,1531.81
2021-05-29 10:00:00,23.99,24.49,23.54,23.6,2370.16
2021-05-29 11:00:00,23.53,23.77,23.15,23.67,3163.94
2021-05-29 12:00:00,23.67,23.76,23.42,23.55,573.31
2021-05-29 13:00:00,23.63,23.82,22.9,23.78,2006.44
2021-05-29 14:00:00,23.68,23.68,22.88,22.88,1180.71
2021-05-29 15:00:00,22.86,22.97,21.99,22.6,2442.87
2021-05-29 16:00:00,22.5,22.84,22.1,22.28,1236.68
2021-05-29 17:00:00,22.32,22.32,21.73,22.14,2088.53
2021-05-29 18:00:00,22.13,22.66,21.96,22.59,1916.39
2021-05-29 19:00:00,22.68,22.68,21.63,21.72,1270.7
2021-05-29 20:00:00,21.7,21.86,21.46,21.85,1836.68
2021-05-29 21:00:00,21.73,21.93,21.21,21.55,1511.92
2021-05-29 22:00:00,21.43,21.72,21.23,21.63,1350.67
2021-05-29 23:00:00,21.67,22.56,21.56,22.48,1370.25
2021-05-30 00:00:00,22.4,22.57,22.15,22.46,1407.04
2021-05-30 01:00:00,22.39,22.88,22.2,22.63,965.53
2021-05-30 02:00:00,22.54,22.64,21.43,21.64,1602.89
2021-05-30 03:00:00,21.68,21.68,21.34,21.54,624.8
2021-05-30 04:00:00,21.3,21.91,21.15,21.91,737.33
2021-05-30 05:00:00,21.93,22.18,21.73,22.07,388.6
2021-05-30 06:00:00,22.18,22.45,22.02,22.25,1400.97
2021-05-30 07:00:00,22.41,23.43,22.41,23.42,3208.94
2021-05-30 08:00:00,23.33,23.95,23.32,23.95,3446.63
2021-05-30 09:00:00,23.96,24.5,23.62,24.47,2504.31
2021-05-30 10:00:00,24.49,25.0,23.88,24.07,2076.09
2021-05-30 11:00:00,24.07,24.24,23.78,24.04,1370.69
2021-05-30 12:00:00,24.04,24.1,23.7,23.7,882.53
2021-05-30 13:00:00,23.8,24.53,23.53,24.25,1423.08
2021-05-30 14:00:00,24.24,24.29,23.38,23.62,1507.56
2021-05-30 15:00:00,23.55,24.36,23.47,23.72,1723.13
2021-05-30 16:00:00,23.68,23.72,22.83,22.91,1929.57
